sign,tokens,coverage,precision,decomposes,n_parts,parts
595,10,0.939,0.733,True,2,430m@1.0 + 020m@0.65
569,4,0.939,1.000,True,1,069@1.0
642,1,0.939,0.837,True,2,254@0.8 + 755m@0.65
395,1,0.939,0.781,True,2,205m@1.0 + 430m@0.65
634,1,0.939,0.941,True,2,090@1.0 + 010m@0.4
598,3,0.939,0.708,True,2,254@1.0 + 306m@0.65
370,4,0.938,0.861,True,1,600@1.0
101,1,0.938,0.901,True,1,070@1.0
625,2,0.938,0.971,True,2,600@1.0 + 063@0.5
078,8,0.938,0.948,True,1,063m@1.0
521,3,0.938,0.968,True,2,522@1.0 + 076@0.65
538,2,0.938,0.851,True,2,430@0.65 + 076@0.5
528,0,0.937,0.812,True,2,306@1.0 + 044@1.0
130,3,0.937,0.699,False,2,093@1.0 + 093m@0.8
336,0,0.937,0.912,True,1,306@1.0
701,3,0.936,0.750,True,2,205@0.8 + 095@0.8
042,3,0.936,0.580,False,2,430m@1.0 + 021m@0.5
546,2,0.936,0.623,False,2,254m@1.0 + 290m@1.0
420,21,0.936,0.885,True,1,053m@1.0
658,1,0.936,0.784,True,1,020@1.0
120,2,0.936,0.938,True,1,011m@1.0
266,1,0.935,0.904,True,1,306@1.0
307,3,0.935,0.825,True,1,607@1.0
693,1,0.935,0.824,True,2,070@1.0 + 076@0.4
034,35,0.935,0.842,True,1,008m@1.0
743,1,0.935,0.841,True,2,020@1.0 + 095@0.4
671,2,0.935,0.872,True,2,306@1.0 + 004m@0.5
675,3,0.935,0.880,True,2,670@1.0 + 053m@0.4
601,2,0.935,0.759,True,2,306@1.0 + 430m@0.8
656,1,0.935,0.816,True,2,205@1.0 + 059m@0.65
181,2,0.934,0.994,True,1,300@1.0
632,1,0.934,0.588,False,2,254m@1.0 + 022@1.0
481,2,0.934,0.831,True,2,020m@0.8 + 755m@0.5
033,11,0.934,0.822,True,2,430m@1.0 + 063m@0.65
561,2,0.934,0.843,True,2,306@0.8 + 022@0.4
409,0,0.933,0.700,True,2,254m@1.0 + 306@0.8
314,1,0.933,0.804,True,1,254@1.0
208,33,0.932,0.813,True,2,280@1.0 + 430m@0.65
646,1,0.932,0.782,True,1,254@1.0
762,3,0.932,0.854,True,2,430m@0.8 + 044m@0.4
731,1,0.932,0.840,True,2,254@0.8 + 027@0.4
248,1,0.932,0.734,True,2,607@0.8 + 254@0.8
270,3,0.931,0.912,True,1,200@1.0
153,2,0.931,0.840,True,2,020m@0.8 + 067@0.4
477,0,0.931,0.691,False,2,254@1.0 + 400@0.8
079,32,0.931,0.883,True,2,063@1.0 + 053m@0.4
374,1,0.931,0.905,True,1,306@1.0
303,3,0.930,0.978,True,1,306@1.0
057,21,0.930,0.787,True,2,099@0.8 + 076m@0.4
360,16,0.930,0.921,True,1,300m@1.0
385,33,0.930,0.877,True,1,381@1.0
466,4,0.930,0.718,True,2,020@1.0 + 011m@0.8
276,4,0.930,0.944,True,1,306@1.0
107,3,0.929,0.698,False,2,254m@1.0 + 381@0.5
606,31,0.929,0.792,True,2,306@1.0 + 044@1.0
560,2,0.929,0.905,True,1,600@1.0
