sign,nn1,s1,nn2,s2,nn3,s3
430,531,0.380,683,0.374,734,0.371
431,631,0.407,184,0.390,281,0.389
432,380,0.406,370,0.378,420,0.365
440,450,0.407,006,0.403,107,0.400
441,442,0.430,445,0.397,695,0.381
442,441,0.430,445,0.417,695,0.408
445,442,0.417,695,0.416,441,0.397
446,456,0.409,384,0.385,392,0.384
447,470,0.360,498,0.359,670,0.353
448,284,0.405,206,0.388,460,0.386
449,089,0.437,591,0.397,571,0.375
450,107,0.412,569,0.409,440,0.407
451,151,0.365,392,0.360,005,0.360
452,387,0.326,720,0.324,459,0.318
456,446,0.409,384,0.397,382,0.378
458,586,0.360,459,0.352,100,0.350
459,021,0.373,100,0.355,458,0.352
460,201,0.398,205,0.387,302,0.386
461,487,0.401,529,0.399,534,0.391
462,108,0.349,110,0.349,151,0.348
463,576,0.442,336,0.433,524,0.429
464,306,0.386,204,0.376,514,0.371
465,335,0.394,301,0.388,395,0.374
466,636,0.397,729,0.396,603,0.363
468,636,0.405,729,0.378,678,0.368
469,762,0.383,529,0.376,168,0.374
470,447,0.360,670,0.349,460,0.349
471,631,0.380,610,0.368,570,0.364
472,512,0.342,499,0.337,675,0.334
474,021,0.355,761,0.353,119,0.351
476,566,0.407,576,0.403,296,0.394
477,684,0.385,589,0.371,682,0.371
480,382,0.368,752,0.363,170,0.355
481,613,0.361,463,0.358,622,0.356
482,386,0.373,484,0.367,602,0.365
483,496,0.379,616,0.359,625,0.350
484,586,0.379,742,0.373,743,0.372
486,654,0.371,561,0.370,509,0.361
487,531,0.416,209,0.407,202,0.404
489,227,0.383,212,0.380,314,0.379
490,415,0.329,556,0.322,557,0.320
491,666,0.388,667,0.368,558,0.365
492,613,0.375,626,0.365,253,0.364
493,725,0.361,484,0.355,477,0.349
494,725,0.382,489,0.369,409,0.349
496,633,0.409,653,0.408,698,0.394
497,661,0.405,662,0.389,680,0.388
498,663,0.363,447,0.359,559,0.343
499,605,0.358,460,0.353,186,0.338
500,570,0.437,181,0.415,590,0.414
501,311,0.434,231,0.425,315,0.425
502,320,0.423,331,0.410,191,0.410
503,421,0.421,300,0.413,593,0.407
504,302,0.430,574,0.428,306,0.410
505,305,0.448,575,0.435,185,0.423
506,531,0.443,376,0.430,582,0.424
507,246,0.428,244,0.422,336,0.422
509,680,0.392,561,0.387,533,0.379
510,590,0.432,610,0.430,567,0.421
511,510,0.415,519,0.407,513,0.399
512,513,0.411,511,0.390,039,0.390
513,519,0.414,512,0.411,511,0.399
514,596,0.389,528,0.380,276,0.379
515,545,0.396,518,0.389,510,0.385
517,630,0.415,774,0.413,082,0.403
518,592,0.416,099,0.400,581,0.393
519,513,0.414,510,0.409,511,0.407
520,300,0.431,590,0.422,200,0.422
521,672,0.389,602,0.387,393,0.365
522,099,0.409,520,0.383,518,0.378
523,770,0.379,584,0.375,567,0.373
524,576,0.440,526,0.430,463,0.429
525,099,0.392,773,0.391,518,0.390
526,294,0.445,296,0.433,576,0.431
527,207,0.375,597,0.368,607,0.368
528,596,0.381,286,0.381,244,0.381
529,168,0.410,461,0.399,762,0.387
530,181,0.423,290,0.414,230,0.413
531,506,0.443,721,0.438,376,0.427
532,534,0.422,232,0.410,776,0.399
533,595,0.416,734,0.409,415,0.391
534,232,0.436,532,0.422,776,0.410
535,536,0.387,537,0.354,538,0.334
536,535,0.387,537,0.361,538,0.305
537,536,0.361,535,0.354,539,0.319
538,776,0.369,539,0.357,376,0.350
539,734,0.357,538,0.357,531,0.351
540,610,0.405,510,0.391,570,0.383
541,375,0.370,575,0.358,305,0.358
542,501,0.380,543,0.375,205,0.375
543,542,0.375,215,0.374,231,0.374
544,642,0.382,554,0.366,646,0.350
545,515,0.396,038,0.380,512,0.378
546,150,0.375,633,0.367,660,0.367
547,404,0.418,604,0.404,402,0.400
548,028,0.358,546,0.352,150,0.350
550,560,0.431,690,0.426,567,0.424
551,552,0.417,301,0.385,575,0.384
552,551,0.417,575,0.378,579,0.374
553,226,0.377,222,0.375,236,0.373
554,642,0.401,595,0.385,533,0.376
