side,line,position,head,print_ink_width,tracing_width,similarity,local_score
Ev,Ev06,4,007,48,15,0.2576,0.453
Ev,Ev06,5,067,49,20,0.3859,0.57
Ev,Ev06,6,244,70,29,0.337,0.526
Ev,Ev06,7,027,53,24,0.3377,0.427
Ev,Ev06,8,077,69,25,0.351,0.496
Ev,Ev06,9,004,12,6,0.4092,0.443
Ev,Ev06,10,522,46,20,0.3815,0.47
Ev,Ev06,11,700,34,10,0.2976,0.511
Ev,Ev06,12,600,58,20,0.3164,0.582
Ev,Ev06,13,059,41,18,0.3745,0.637
Ev,Ev06,14,324,64,25,0.361,0.556
Ev,Ev06,15,004,38,14,0.3846,0.601
Ev,Ev06,16,030,49,19,0.3655,0.653
Ev,Ev06,17,004,18,6,0.2997,0.381
Ev,Ev06,18,055,50,20,0.3782,0.479
Ev,Ev06,19,244,81,40,0.3601,0.568
Ev,Ev06,20,730,60,25,0.3697,0.497
Ev,Ev06,21,002,71,28,0.344,0.602
Ev,Ev06,22,002,33,13,0.4072,0.67
Ev,Ev06,23,001,16,5,0.3855,0.577
Ev,Ev06,24,002,42,23,0.3136,0.339
Ev,Ev06,25,515,54,22,0.3506,0.49
Ev,Ev06,26,040,29,11,0.2663,0.477
Ev,Ev06,27,670,73,25,0.3219,0.456
Ev,Ev06,28,002,47,23,0.3393,0.453
Ev,Ev06,29,001,45,16,0.2939,0.368
Ev,Ev06,30,200,64,31,0.3931,0.471
Ev,Ev06,31,010,41,17,0.4018,0.626
Ev,Ev06,32,400,73,30,0.3924,0.625
Ev,Ev06,33,013,42,16,0.3958,0.642
Ev,Ev06,34,400,68,29,0.3718,0.65
Ev,Ev06,35,053,22,9,0.3416,0.474
Ev,Ev06,36,006,44,17,0.3164,0.416
Ev,Ev06,37,006,33,16,0.3061,0.574
Ev,Ev07,0,566,64,31,0.3567,0.49
Ev,Ev07,1,074,32,11,0.2549,0.382
Ev,Ev07,2,035,28,20,0.2475,0.342
Ev,Ev07,3,070,37,15,0.1657,0.248
