word,count,syllables,reduplicated
koro,1,2,False
ngaroro,1,3,False
puku,1,2,False
kao,1,2,False
keu,1,2,False
verenga,1,3,False
rerenga,1,3,False
nene,1,2,True
motoi,1,3,False
ngingi,1,2,True
toti,1,2,False
huru,1,2,False
hikua,1,3,False
hikue,1,3,False
pa,1,1,False
kovare,1,3,False
raituahe,1,5,False
kihorou,1,4,False
ivi,1,2,False
rari,1,2,False
hupe,1,2,False
tou,1,2,False
taina,1,3,False
