headword,syllables,source,gloss
hakatika,4,Churchill/Roussel,"rava  hakatika,   to  follow  a"
hakatikea,5,Churchill/Roussel,"to  announce,  to  make  known,"
tiki,2,Churchill/Roussel,"sick,  ill."
tiko,2,Churchill/Roussel,menstruation.
tinitini,4,Churchill/Roussel,"million,  billion."
tini,2,Churchill/Roussel,"po,  midnight."
tino,2,Churchill/Roussel,"body,  matter."
tipatipa,4,Churchill/Roussel,"to  shake,  contortion,  drunk."
hakatipatipa,6,Churchill/Roussel,to  shake.
tipi,2,Churchill/Roussel,hip.
titaa,3,Churchill/Roussel,"crack,    demarcation,   line,    limit,    to"
hakatitaa,5,Churchill/Roussel,to  limit.
titititi,4,Churchill/Roussel,to  close  up.
hakatiti,4,Churchill/Roussel,to  adjust.
titia,3,Churchill/Roussel,full.
titika,3,Churchill/Roussel,"worthy,  exact,  formal,  lawful,  moral,"
titikahia,5,Churchill/Roussel,due.
titikamaaki,6,Churchill/Roussel,"direct,  perfect."
titiri,3,Churchill/Roussel,"to  abandon,  to  abjure."
titiro,3,Churchill/Roussel,to  admire.
tohuti,3,Churchill/Roussel,"to  run,  to  gallop,  to  trot,  to  make"
toka,2,Churchill/Roussel,a  rock  under  water.
toketoke,4,Churchill/Roussel,"to  steal,  to  rob,  to  extort,  to"
tokea,3,Churchill/Roussel,a  dupe.
tokenoho,4,Churchill/Roussel,intruder.
tokini,3,Churchill/Roussel,stocking.
tokoe,3,Churchill/Roussel,"thine,  yours."
tokoma,3,Churchill/Roussel,dog.
tokotoko,4,Churchill/Roussel,"stick,  cane,  crutches,  axe  helve,"
toku,2,Churchill/Roussel,mine.
tominika,4,Churchill/Roussel,"vSunday,  week."
tomo,2,Churchill/Roussel,"to  contain,  to  penetrate,  to  enter,  to"
tomoa,3,Churchill/Roussel,to  board.
hakatomo,4,Churchill/Roussel,"to  introduce,  to  drive  in,  to"
ton,1,Churchill/Roussel,a  his.
tono,2,Churchill/Roussel,"to  remove,  to  pass  over."
hakatono,4,Churchill/Roussel,"to  balance,  to  thrust  back,"
tonotono,4,Churchill/Roussel,"to  rush  upon,  to  shovel,  a"
totono,3,Churchill/Roussel,to  drive  back.
tonokio,4,Churchill/Roussel,to  strike.
tootahi,4,Churchill/Roussel,to  give  one  his  share.
hakatotopa,5,Churchill/Roussel,"to  excite,  to  foment."
topanihi,4,Churchill/Roussel,to  fall  head  foremost.
topapu,3,Churchill/Roussel,"man  topapu,  quite  unexpected."
toparia,4,Churchill/Roussel,"to  crumble,  ruin."
hakatoparia,6,Churchill/Roussel,to  demolish.
topatini,4,Churchill/Roussel,abortion.
tope,2,Churchill/Roussel,"soap,  to  wash  clothes."
hakatoru,4,Churchill/Roussel,triple.
totoi,3,Churchill/Roussel,"to  extirpate,  to  drag  away,  to  pull,  to"
totona,3,Churchill/Roussel,to  improve.
totoro,3,Churchill/Roussel,"to  go  on  all  fours,  to  creep,  to  crawl,"
tou,2,Churchill/Roussel,thine.
totoua,4,Churchill/Roussel,hostility.
hakatoua,5,Churchill/Roussel,"fighter,  warrior."
toutou,4,Churchill/Roussel,fertile  (tautau).
hakatoutou,6,Churchill/Roussel,to  fertilize.
toiivae,5,Churchill/Roussel,to  run.
hakauruuru,6,Churchill/Roussel,"touvae,  id."
tova,2,Churchill/Roussel,"kahu  tova,  jib."
tuaapapa,5,Churchill/Roussel,"haunch,  hip,  spine  T."
tuahuri,4,Churchill/Roussel,abortion.
tuakana,4,Churchill/Roussel,"elder,  elder  brother."
tuatua,4,Churchill/Roussel,to  glean.
tuha,2,Churchill/Roussel,"to  distribute,  to  share,  to  divide,  to"
tuhai,3,Churchill/Roussel,"old,  ancient,  antique,  inveterate,  lon-"
tuhaituhai,6,Churchill/Roussel,long  ago.
hakatuhai,5,Churchill/Roussel,"to  delay,  postpone."
tuitui,4,Churchill/Roussel,gold  T.
tuke,2,Churchill/Roussel,nape.
tukeua,4,Churchill/Roussel,the  shoulder  and  probably  in  tukiua
tukepaka,4,Churchill/Roussel,leafless.
tukituki,4,Churchill/Roussel,"to  pound,  to  copulate  T."
tuku,2,Churchill/Roussel,"to  give,  to  let  go,  to  deliver,  to  accord,"
tumoku,3,Churchill/Roussel,a  sprain.
tunu,2,Churchill/Roussel,"to  cook,  to  fry."
tupa,2,Churchill/Roussel,land  crab.
tupatupa,4,Churchill/Roussel,to   bring   in   one   dead    or
tupapaku,4,Churchill/Roussel,corpse.
tiipu,3,Churchill/Roussel,"he  aval,  of  rapid  growth."
hakatupu,4,Churchill/Roussel,"to    produce,    to   stimulate"
tupuaki,4,Churchill/Roussel,"near,  immediate,  closely,  face  to"
hakatupuaki,6,Churchill/Roussel,"to  accost,  to  advance,  to"
tupuna,3,Churchill/Roussel,"ancestors,  grandparents,  forefathers"
tupuraki,4,Churchill/Roussel,"occiput,  crown  of  the  head."
turi,2,Churchill/Roussel,knee.
turirima,4,Churchill/Roussel,elbow.
turituku,4,Churchill/Roussel,to  fall  on  the  knee.
turituri,4,Churchill/Roussel,dorsal  fin  Q.
turituririma,6,Churchill/Roussel,elbow  joint.
turiturivae,6,Churchill/Roussel,knee  joint.
turivare,4,Churchill/Roussel,abscess  at  the  knee.
turu,2,Churchill/Roussel,"to  fall  in  drops,  to  flow,  to  leak,  to"
hakaturu,4,Churchill/Roussel,"to  cause  to  descend,  to  lower,"
hakaturuturu,6,Churchill/Roussel,to  heave  and  pitch.
turumea,4,Churchill/Roussel,fine  grass  T.
turuvai,4,Churchill/Roussel,water  conduit.
tiitae,4,Churchill/Roussel,"hihi,  constipation."
tutu,2,Churchill/Roussel,"a  broom,  to  sweep,  to  clean."
hakatutu,4,Churchill/Roussel,to  set  joists.
tutui,3,Churchill/Roussel,"tutui  ohio,  chain."
tutuki,3,Churchill/Roussel,"shock,  contusion,  to  run  against,  to"
tutukia,4,Churchill/Roussel,to  run  foul  of.
tutuma,3,Churchill/Roussel,tree  trunk  T  (?  tumu).
tutumata,4,Churchill/Roussel,"ligament  of  the  ej'e,  orbit,  ejelid"
tutuu,3,Churchill/Roussel,bri.stling.
tuu,2,Churchill/Roussel,"noa,  perpendicular."
ttiu,2,Churchill/Roussel,"hakamate  tagata,  gallows."
hakatuu,4,Churchill/Roussel,"to  erect,  to  establish,  to  insti-"
tuua,3,Churchill/Roussel,to  be  reunited.
akatuu,4,Churchill/Roussel,symptom.
hakatuua,5,Churchill/Roussel,"spot,  mark."
hakatuutuu,6,Churchill/Roussel,demarcation.
tuuaviki,5,Churchill/Roussel,to  pout.
tuutuu,4,Churchill/Roussel,ventral  fin.
hakau,3,Churchill/Roussel,the  gums.
uaua,4,Churchill/Roussel,"vein,  tendon,  line."
hakauaua,6,Churchill/Roussel,to  mark  with  lines.
uapiki,4,Churchill/Roussel,cramps.
uero,3,Churchill/Roussel,"comet,   star,   twilight,   a   ray,    to   be"
huero,3,Churchill/Roussel,"vcravera,  burning  ray."
hueroero,5,Churchill/Roussel,a  ray.
ueue,4,Churchill/Roussel,to  shake  (eueue).
uhatu,3,Churchill/Roussel,to  displease.
uhi,2,Churchill/Roussel,yam.
uiui,4,Churchill/Roussel,to  ask  questions.
uira,3,Churchill/Roussel,"wheel,  helm."
uka,2,Churchill/Roussel,"uka  hoa,  female  friend,  companion."
ukauka,4,Churchill/Roussel,firewood.
uki,2,Churchill/Roussel,"digging-stick,  bayonet,   bodkin,  arrow"
uma,2,Churchill/Roussel,"chest,  breast."
umiumi,4,Churchill/Roussel,tattooing  on  the  chin.
umu,2,Churchill/Roussel,"cooking  place,  oven  (humu)."
uneki,3,Churchill/Roussel,"niho  uneki,  to  show  the  teeth."
unu,2,Churchill/Roussel,"to  drink,  liquor."
hakaunu,4,Churchill/Roussel,to  slake  thirst.
hakaunuora,6,Churchill/Roussel,to  water.
unuvai,4,Churchill/Roussel,to  drink  water.
hakaura,4,Churchill/Roussel,"to  cause  to  glow,  to  kindle,  to"
uraura,4,Churchill/Roussel,"vermilion,  scarlet."
ure,2,Churchill/Roussel,penis.
urei,3,Churchill/Roussel,"niho  urei,  to  show  the  teeth."
ureure,4,Churchill/Roussel,spiral.
uriuri,4,Churchill/Roussel,"black,  brown,  gray,  dark,  green,  blue,"
hakahurihuri,6,Churchill/Roussel,"dark,     obscurity,     to"
hakauru,4,Churchill/Roussel,"to  thread,  to  inclose,  to  admit,"
akauru,4,Churchill/Roussel,to  calk.
hakahuru,4,Churchill/Roussel,to  set  a  tenon  into  the  mor-
uta,2,Churchill/Roussel,"inland,  landward."
hakauta,4,Churchill/Roussel,to  give  passage.
uu,2,Churchill/Roussel,"acid,  to  be  sharp,  sour  (huu)."
uutu,3,Churchill/Roussel,to  fill.
uuu,3,Churchill/Roussel,red.
uva,2,Churchill/Roussel,grape.
va,1,Churchill/Roussel,"is  the  disorderly  cry   of  tumult,  and"
vaai,3,Churchill/Roussel,"to  alienate,  to  give  away."
karikari,4,Churchill/Roussel,"vae,  ankle."
vaea,3,Churchill/Roussel,predestined.
vaero,3,Churchill/Roussel,"tail  of  a  kite,  tail  of  a  bird  (uero)."
vahavaha,4,Churchill/Roussel,id.
vahio,3,Churchill/Roussel,young.
hakavai,4,Churchill/Roussel,"to  dissolve,  to  liquefy,  to  melt."
vaitara,4,Churchill/Roussel,winter  west  wind  T.
vaivai,4,Churchill/Roussel,weak.
vakavaka,4,Churchill/Roussel,narrow.
vanavana,4,Churchill/Roussel,feather  garland.
varavara,4,Churchill/Roussel,"no,  sometimes."
hakavaravara,6,Churchill/Roussel,"thinly  sown,  spaced."
hakavarevare,6,Churchill/Roussel,to  level.
vare,2,Churchill/Roussel,driveler.
hero,2,Churchill/Roussel,"varevare,  without  branches."
varikapau,5,Churchill/Roussel,"circumference,   to  surround,   a"
varu,2,Churchill/Roussel,eight.
varuvaru,4,Churchill/Roussel,"to  peel,  to  remove  the  bark,"
vau,2,Churchill/Roussel,"ko  vau,  I."
vavae,3,Churchill/Roussel,"to  separate,  to  disunite."
vavakai,4,Churchill/Roussel,appetite  (?  ravakai).
vavau,3,Churchill/Roussel,"rniro  vavan,  switch."
vavovavo,4,Churchill/Roussel,"echo,  sound  of  the  sea."
vekeveke,4,Churchill/Roussel,"eyelash,  banana  flower."
veku,2,Churchill/Roussel,humus.
hakavekuveku,6,Churchill/Roussel,"to  dampen,  to  wet."
veravera,4,Churchill/Roussel,"hot,   heat,   burning,   cooked"
hakavera,4,Churchill/Roussel,to  kindle.
hakaverapaka,6,Churchill/Roussel,to  heat  up.
hakaveravera,6,Churchill/Roussel,to  grill.
verevere,4,Churchill/Roussel,"shaggy,  hairy,  tow,  oakum."
veri,2,Churchill/Roussel,"myriapod,  centipede."
veveri,3,Churchill/Roussel,execrable.
veriveri,4,Churchill/Roussel,"abominable,  frightful,  hideous,"
vero,2,Churchill/Roussel,"arrow,  dart,  harpoon,  lance,  spear,"
vetevete,4,Churchill/Roussel,"to  untie,  to  unbutton,  to  unbridle,"
vevete,3,Churchill/Roussel,"to  absolve,  to  unchain,  to  untie,"
vevetea,4,Churchill/Roussel,"slack,  loose."
veuveu,4,Churchill/Roussel,"kahu  aruga  o  te  veuveu,  voyoX  (sail)."
veveveve,4,Churchill/Roussel,"to  hasten,   diligent,   greedy,"
viatiko,4,Churchill/Roussel,viaticum.
viku,2,Churchill/Roussel,sacred.
hakaviku,4,Churchill/Roussel,"to  consecrate,  to  interdict."
vinea,3,Churchill/Roussel,vine.
viretute,4,Churchill/Roussel,virtue.
hakaviri,4,Churchill/Roussel,"crank,  to  groom,  to  turn  a"
viriviri,4,Churchill/Roussel,"ball,  round,  oval,  bridge,  roll,"
hakaviriviri,6,Churchill/Roussel,"to  roll,  to  round."
vitiviti,4,Churchill/Roussel,crayfish.
voka,2,Churchill/Roussel,to  put  on  shoes.
vou,2,Churchill/Roussel,squeak  of  rats.
ngaro,2,Thomson,Absent
kamoi,3,Thomson,Adieu
mata hi,2,Thomson,Age
hangu,2,Thomson,Air
manava,3,Thomson,Abdomen
hann,1,Thomson,Aid
kari kari vae,2,Thomson,Aukle
ananake,4,Thomson,All (whole)
tupuna,3,Thomson,Aucestor
rima,2,Thomson,Arm
maori,3,Thomson,Artisan
ua noho toto,2,Thomson,Artery
vaha tonga,2,Thomson,Autumn
toki,2,Thomson,Ax
poe poe,2,Thomson,Vaka
kia,2,Thomson,Maita
mata,2,Thomson,Tutu
