headword,syllables,source,gloss
horehore,4,Churchill/Roussel,"to  carve,  to  tear,  to  cut  off,"
hori,2,Churchill/Roussel,calm.
horihori,4,Churchill/Roussel,"undecided,  inattentive,  indif-"
hakahori,4,Churchill/Roussel,to  exclude.
tun,1,Churchill/Roussel,"mat  te  horihori,  accident."
hakahorihori,6,Churchill/Roussel,"to    contradict,    to    go"
horo,2,Churchill/Roussel,"to  wash  down,  to  gulp,  to  swallow,  to"
horohoro,4,Churchill/Roussel,"to  swallow,  to  gobble,  glut-"
maea,3,Churchill/Roussel,"horohoro,  snowy  rock."
hororaa,4,Churchill/Roussel,"to,  a  cane  mill ;  oro,  to  rasp,"
horohopae,5,Churchill/Roussel,"to  save,  to  economize,  steward"
horoi,3,Churchill/Roussel,"to  dry,  to  wipe  (horo  5)."
horu,2,Churchill/Roussel,pig  (oru).
punua,3,Churchill/Roussel,"horu,  suckling  pig."
horuhoru,4,Churchill/Roussel,"to  sleep  (ahuru,  auru,  goruru)."
hoto,2,Churchill/Roussel,shoulder.
hotonuinui,6,Churchill/Roussel,fat.
hotopararaha,6,Churchill/Roussel,fat.
hou,2,Churchill/Roussel,"to  perforate,  to  drill."
hakahou,4,Churchill/Roussel,"to  reiterate,  reparation,   to"
rere,2,Churchill/Roussel,"hakahou  niai,  to  rebound."
hu,1,Churchill/Roussel,breaking  of  wind.
hua,2,Churchill/Roussel,the  same.
huaa,3,Churchill/Roussel,"tae  oko,  huaa  vahio,  young  fruit."
tikea,3,Churchill/Roussel,"huahaga,  deceptive  appearance."
hue,2,Churchill/Roussel,"a   pile,   a   heap;   to  accumulate,   to"
htie,2,Churchill/Roussel,"no,  a  halt."
hakahue,4,Churchill/Roussel,"to  heap  up,    to  amass,"
huhu,2,Churchill/Roussel,"sap  wood,  alburnum."
huhuhu,3,Churchill/Roussel,hu  to  sail  toward.
huhuru,3,Churchill/Roussel,"hair,  down,  plumage,  fur."
hui,2,Churchill/Roussel,tattooing  rod.
huki,2,Churchill/Roussel,"to  post  up,  to  publish."
hukihuki,4,Churchill/Roussel,colic.
humu,2,Churchill/Roussel,tattooing  on  the  feet.
huna,2,Churchill/Roussel,thornless.
hupee,3,Churchill/Roussel,mucus.
hupeepee,5,Churchill/Roussel,asthma.
kirikiri,4,Churchill/Roussel,ueue  as  exhibiting  this  particular
hura,2,Churchill/Roussel,"fife,  whistle,  drum,  trumpet,  to  play."
hurahura,4,Churchill/Roussel,whistle.
hurehure,4,Churchill/Roussel,"to  shell,  to  skin."
huhure,3,Churchill/Roussel,to  skin.
huri,2,Churchill/Roussel,stem.
huhuri,3,Churchill/Roussel,rolling.
hakahuri,4,Churchill/Roussel,to  turn  over.
hurihuri,4,Churchill/Roussel,"wrath,  anger."
hurikea,4,Churchill/Roussel,"to  transfigure,  to  transform."
huru,2,Churchill/Roussel,"huru  ke,  spotted."
hutihuti,4,Churchill/Roussel,"to  pluck,  to  pull  out,  tu  weed"
ia,2,Churchill/Roussel,"in  order  to,  so  that."
ko,1,Churchill/Roussel,"ia,  he,  she,  yes,  it  is,  this."
moo,2,Churchill/Roussel,"iharaa,  ordinary."
kotiru,3,Churchill/Roussel,"no  iharaa  no  iharaa,  usual."
ihiihi,4,Churchill/Roussel,to  hop.
iho,2,Churchill/Roussel,"modern,   new,   recent."
hakaiho,4,Churchill/Roussel,"to  reiterate,  to  renew."
hakamau,4,Churchill/Roussel,"iho,  to  immortalize."
hakaihoiho,6,Churchill/Roussel,"counterbalance,   counter-"
ihoiho,4,Churchill/Roussel,"eager,  constant,  stubborn,  obstinate,"
ihu,2,Churchill/Roussel,"nose,  snout,  cape  T  (iju  Q)."
ihupiro,4,Churchill/Roussel,"to  rap  on  the  nose,  to  snuflBe."
mata,2,Churchill/Roussel,"ika,  pearl."
ikahi,3,Churchill/Roussel,"to  fish  with  a  line,  to  angle."
ikakato,4,Churchill/Roussel,to  go  fishing.
ikakohau,5,Churchill/Roussel,"to  fish  with  a  Hne,  to  angle."
ikapotu,4,Churchill/Roussel,"cape,  end  of  a  voyage,  destination."
ikapuhi,4,Churchill/Roussel,to  fish  with  a  torch.
iko,2,Churchill/Roussel,"to  take  away,  to  carry  off,  to  despoil,  to"
ikoa,3,Churchill/Roussel,"to  seize,  to  take  possession."
ikoiko,4,Churchill/Roussel,"to  seize,  to  deprive."
iku,2,Churchill/Roussel,tail  (of  beast  or  fish)  see  vaero.
ian,2,Churchill/Roussel,"nei,  absent."
inaki,3,Churchill/Roussel,allowance  of  food.
meat,2,Churchill/Roussel,or  fish.
inei,3,Churchill/Roussel,here.
inua,3,Churchill/Roussel,cloak  Q  (nua  T).
iore,3,Churchill/Roussel,indistinctly.
ira,2,Churchill/Roussel,"then,  there,  behold."
hakaira,4,Churchill/Roussel,id.
iro,2,Churchill/Roussel,a  chaplet  of  long  feathers  as  an  ornament
ite,2,Churchill/Roussel,to  see  (kite).
iti,2,Churchill/Roussel,"little,  small,  medium."
itia,3,Churchill/Roussel,shrunken.
itiiti,4,Churchill/Roussel,"scanty,  slim."
hakaiti,4,Churchill/Roussel,"to  make  small,  to  lessen,  to"
hakaitiiti,6,Churchill/Roussel,"to  squat,  to  crouch."
iva,2,Churchill/Roussel,nine.
tooa,3,Churchill/Roussel,"te  kiko  e  ivi  i  hakarsre,  to  strip  the"
kore,2,Churchill/Roussel,"te  ivi,  cooked  too  much."
ivive,3,Churchill/Roussel,a  wig  of  women's  hair  assumed  by  men
mea,2,Churchill/Roussel,"meitaki  ka  rava,  a  thing  good  to"
kahaka,3,Churchill/Roussel,abasement.
rinia,3,Churchill/Roussel,"te  kahu,  sleeve."
hakarivariva,6,Churchill/Roussel,"ki  te  kahu,  toilet."
rakai,3,Churchill/Roussel,"ki  te  kahu,  toilet."
patu,2,Churchill/Roussel,"ki  te  kahu,  to  undress."
kahui,3,Churchill/Roussel,"bunch,  cluster."
vave,2,Churchill/Roussel,"kai  kohe,  inaccessible."
hakapee,4,Churchill/Roussel,"no   kai  hoao,  abundance,  to"
kaia,3,Churchill/Roussel,eaten.
matt,1,Churchill/Roussel,"kaiga,  proprietor."
hooa,3,Churchill/Roussel,"te  kaiga,  to  buy  land."
kaikai,4,Churchill/Roussel,"ikai-3)  sharp,  cutting,  edge  of  a"
kaikino,4,Churchill/Roussel,"selfish,  avaricious,  faithless,  ingrate."
paoa,3,Churchill/Roussel,"kaitagata,  cannibal,  savage."
kakai,3,Churchill/Roussel,"to  blame,  to  chide,  to  scold,  to  dis-"
totia,3,Churchill/Roussel,"kakai,  to  rebuke."
kakaure,4,Churchill/Roussel,fly  T  (takaure).
kakava,3,Churchill/Roussel,chemise.
kakea,3,Churchill/Roussel,"to  come  near,  to  embark."
kakore,3,Churchill/Roussel,"no,  not."
kamakama,4,Churchill/Roussel,to  yawn  Q.
kamiora,4,Churchill/Roussel,to  console.
kamou,3,Churchill/Roussel,hush!  {kamou).
kanamunamu,5,Churchill/Roussel,glaive  R  (?  glaire).
kaokao,4,Churchill/Roussel,"side,  flank,  lateral."
kape,2,Churchill/Roussel,"arum,  yam."
kapu,2,Churchill/Roussel,"kapu  amtia,  to  go  ahead."
kara,2,Churchill/Roussel,wing.
karat,2,Churchill/Roussel,ia  grace.
karava,3,Churchill/Roussel,cave.
karavarava,5,Churchill/Roussel,"manava  karavarava,  colic."
ropa,2,Churchill/Roussel,"kakari  kore,  petticoat."
kakari,3,Churchill/Roussel,"manava,  waist."
karo,2,Churchill/Roussel,"to  decline,  to  be  on  the  wane."
karokaro,4,Churchill/Roussel,"karokaro  tariga,  ear  pendant."
karu,2,Churchill/Roussel,to  raise  the  arm  for  a  blow.
karukaru,4,Churchill/Roussel,"a  swelling,  to  swell."
kata,2,Churchill/Roussel,"to  laugh,  to  smile."
kakata,3,Churchill/Roussel,"toe  kakata,  dourness."
katikati,4,Churchill/Roussel,"to  scratch,  to  claw."
hakakau,4,Churchill/Roussel,to  make  to  swim.
kauae,4,Churchill/Roussel,jawbone  (kaua  Q)  (Cf.  kauvae).
kauaha,4,Churchill/Roussel,"jaw  of  fish,  gills."
