side,lag,observed,shuffled_mean,z
Pv,7,0.0182,0.0122,1.42
Pv,8,0.0164,0.0123,0.87
Pv,9,0.0183,0.0120,1.37
Pv,10,0.0275,0.0127,3.44
Pv,11,0.0165,0.0128,0.89
Pv,12,0.0221,0.0125,2.12
Pv,13,0.0129,0.0125,0.07
Pv,14,0.0148,0.0126,0.45
Pv,15,0.0240,0.0124,2.46
Pv,16,0.0093,0.0128,-0.78
Pv,17,0.0111,0.0125,-0.28
Pv,18,0.0167,0.0121,0.94
Pv,19,0.0130,0.0126,0.08
Pv,20,0.0168,0.0124,0.93
Pv,21,0.0187,0.0127,1.23
Pv,22,0.0206,0.0123,1.77
Pv,23,0.0263,0.0121,2.96
Pv,24,0.0150,0.0126,0.50
Pv,25,0.0151,0.0118,0.71
Pv,26,0.0132,0.0130,0.04
Pv,27,0.0095,0.0124,-0.61
Pv,28,0.0189,0.0127,1.29
Pv,29,0.0247,0.0122,2.81
Pv,30,0.0190,0.0121,1.42
Pv,31,0.0133,0.0125,0.18
Pv,32,0.0115,0.0125,-0.22
Pv,33,0.0038,0.0127,-1.77
Pv,34,0.0115,0.0125,-0.22
Pv,35,0.0115,0.0123,-0.17
Pv,36,0.0096,0.0119,-0.50
Pv,37,0.0077,0.0120,-0.94
Pv,38,0.0077,0.0122,-1.06
Pv,39,0.0019,0.0124,-2.24
Pv,40,0.0078,0.0121,-0.92
Pv,41,0.0136,0.0119,0.35
Pv,42,0.0078,0.0123,-1.00
Pv,43,0.0156,0.0125,0.66
Pv,44,0.0176,0.0128,0.95
Pv,45,0.0098,0.0116,-0.43
Pv,46,0.0078,0.0120,-0.95
Pv,47,0.0098,0.0122,-0.51
Pv,48,0.0059,0.0123,-1.30
Pv,49,0.0118,0.0120,-0.04
Pv,50,0.0099,0.0121,-0.49
Pv,51,0.0198,0.0122,1.64
Pv,52,0.0317,0.0120,4.49
Pv,53,0.0239,0.0125,2.40
Pv,54,0.0040,0.0119,-1.53
Pv,55,0.0180,0.0132,0.96
Pv,56,0.0120,0.0119,0.02
Pv,57,0.0220,0.0122,1.89
Pv,58,0.0100,0.0123,-0.49
Pv,59,0.0101,0.0124,-0.47
Pv,60,0.0081,0.0123,-0.92
Qr,1,0.0598,0.0145,7.32
Qr,2,0.0736,0.0139,9.62
Qr,3,0.0492,0.0139,6.38
Qr,4,0.0575,0.0137,7.48
Qr,5,0.0275,0.0138,2.36
Qr,6,0.0331,0.0139,3.37
Qr,7,0.0221,0.0142,1.35
Qr,8,0.0305,0.0147,2.45
Qr,9,0.0222,0.0140,1.42
Qr,10,0.0084,0.0138,-0.82
Qr,11,0.0112,0.0143,-0.48
Qr,12,0.0196,0.0147,0.81
Qr,13,0.0140,0.0151,-0.17
Qr,14,0.0141,0.0139,0.03
Qr,15,0.0085,0.0141,-0.85
Qr,16,0.0312,0.0146,2.52
Qr,17,0.0114,0.0136,-0.38
Qr,18,0.0142,0.0143,-0.01
Qr,19,0.0114,0.0136,-0.36
Qr,20,0.0201,0.0138,1.03
Qr,21,0.0115,0.0133,-0.30
Qr,22,0.0202,0.0139,0.98
Qr,23,0.0058,0.0141,-1.22
Qr,24,0.0029,0.0148,-2.04
Qr,25,0.0058,0.0137,-1.39
Qr,26,0.0087,0.0143,-0.94
Qr,27,0.0058,0.0147,-1.35
Qr,28,0.0088,0.0142,-0.81
Qr,29,0.0059,0.0137,-1.28
Qr,30,0.0236,0.0142,1.44
Qr,31,0.0118,0.0148,-0.46
Qr,32,0.0237,0.0136,1.77
Qr,33,0.0179,0.0148,0.49
Qr,34,0.0149,0.0141,0.14
Qr,35,0.0180,0.0143,0.58
Qr,36,0.0090,0.0143,-0.89
Qr,37,0.0090,0.0154,-0.93
Qr,38,0.0211,0.0141,1.06
Qr,39,0.0121,0.0138,-0.27
Qr,40,0.0091,0.0139,-0.72
Qr,41,0.0091,0.0149,-0.84
Qr,42,0.0183,0.0141,0.60
Qr,43,0.0276,0.0138,2.15
Qr,44,0.0092,0.0135,-0.66
Qr,45,0.0062,0.0140,-1.16
Qr,46,0.0186,0.0143,0.61
Qr,47,0.0124,0.0139,-0.26
Qr,48,0.0093,0.0141,-0.73
Qr,49,0.0125,0.0142,-0.26
Qr,50,0.0094,0.0137,-0.74
Qr,51,0.0157,0.0141,0.26
Qr,52,0.0158,0.0138,0.32
Qr,53,0.0127,0.0140,-0.20
Qr,54,0.0063,0.0139,-1.10
Qr,55,0.0159,0.0133,0.40
Qr,56,0.0032,0.0149,-1.71
Qr,57,0.0064,0.0140,-1.13
Qr,58,0.0129,0.0141,-0.20
Qr,59,0.0065,0.0140,-1.08
Qr,60,0.0065,0.0139,-1.16
Qv,1,0.0576,0.0149,6.35
Qv,2,0.0942,0.0152,11.35
Qv,3,0.0793,0.0158,9.39
Qv,4,0.0367,0.0153,3.16
Qv,5,0.0429,0.0148,4.39
Qv,6,0.0431,0.0160,3.58
Qv,7,0.0247,0.0153,1.44
Qv,8,0.0248,0.0158,1.36
Qv,9,0.0311,0.0149,2.43
Qv,10,0.0249,0.0153,1.33
Qv,11,0.0344,0.0155,2.73
Qv,12,0.0282,0.0154,2.04
Qv,13,0.0346,0.0152,2.91
Qv,14,0.0252,0.0152,1.52
Qv,15,0.0316,0.0161,2.28
Qv,16,0.0095,0.0148,-0.81
Qv,17,0.0191,0.0146,0.71
Qv,18,0.0096,0.0148,-0.82
Qv,19,0.0064,0.0156,-1.35
Qv,20,0.0096,0.0156,-0.84
Qv,21,0.0065,0.0156,-1.26
Qv,22,0.0065,0.0155,-1.39
Qv,23,0.0097,0.0149,-0.80
Qv,24,0.0163,0.0147,0.24
Qv,25,0.0229,0.0159,0.98
Qv,26,0.0131,0.0154,-0.34
Qv,27,0.0132,0.0163,-0.50
Qv,28,0.0165,0.0160,0.07
Qv,29,0.0132,0.0169,-0.51
Qv,30,0.0133,0.0144,-0.19
Qv,31,0.0133,0.0160,-0.35
Qv,32,0.0100,0.0147,-0.66
Qv,33,0.0067,0.0159,-1.25
Qv,34,0.0269,0.0161,1.45
Qv,35,0.0101,0.0161,-0.86
Qv,36,0.0102,0.0160,-0.79
Qv,37,0.0136,0.0148,-0.18
Qv,38,0.0068,0.0152,-1.21
Qv,39,0.0171,0.0161,0.13
Qv,40,0.0034,0.0146,-1.55
Qv,41,0.0172,0.0148,0.33
Qv,42,0.0138,0.0161,-0.33
Qv,43,0.0069,0.0160,-1.33
Qv,44,0.0174,0.0149,0.33
Qv,45,0.0350,0.0152,2.57
Qv,46,0.0175,0.0162,0.17
Qv,47,0.0035,0.0153,-1.70
Qv,48,0.0035,0.0155,-1.63
Qv,49,0.0071,0.0163,-1.15
Qv,50,0.0107,0.0157,-0.72
Qv,51,0.0214,0.0144,0.94
Qv,52,0.0108,0.0157,-0.68
Qv,53,0.0144,0.0154,-0.14
Qv,54,0.0108,0.0151,-0.62
Qv,55,0.0145,0.0157,-0.16
Qv,56,0.0109,0.0163,-0.69
Qv,57,0.0109,0.0157,-0.62
Qv,58,0.0256,0.0163,1.30
Qv,59,0.0331,0.0158,2.30
Qv,60,0.0185,0.0151,0.47
Ra,1,0.0777,0.0294,4.09
Ra,2,0.0469,0.0288,1.55
Ra,3,0.0209,0.0291,-0.69
Ra,4,0.0316,0.0294,0.19
Ra,5,0.0423,0.0295,1.25
Ra,6,0.0426,0.0295,1.08
Ra,7,0.0428,0.0288,1.25
Ra,8,0.0215,0.0289,-0.60
Ra,9,0.0324,0.0284,0.36
Ra,10,0.0380,0.0279,0.81
Ra,11,0.0164,0.0306,-1.26
Ra,12,0.0055,0.0294,-2.07
Ra,13,0.0055,0.0299,-2.10
Ra,14,0.0500,0.0302,1.70
Ra,15,0.0223,0.0279,-0.47
Ra,16,0.0112,0.0299,-1.61
Ra,17,0.0339,0.0288,0.40
Ra,18,0.0341,0.0294,0.37
Ra,19,0.0343,0.0278,0.55
Ra,20,0.0345,0.0291,0.42
Ra,21,0.0231,0.0278,-0.37
Ra,22,0.0233,0.0287,-0.42
Ra,23,0.0351,0.0295,0.43
Ra,24,0.0235,0.0299,-0.56
Ra,25,0.0355,0.0284,0.60
Ra,26,0.0357,0.0293,0.48
Ra,27,0.0240,0.0282,-0.34
Ra,28,0.0602,0.0291,2.31
Ra,29,0.0485,0.0285,1.66
Ra,30,0.0183,0.0314,-0.93
Ra,31,0.0368,0.0295,0.58
Ra,32,0.0185,0.0291,-0.85
Ra,33,0.0311,0.0307,0.03
Ra,34,0.0312,0.0278,0.28
Ra,35,0.0126,0.0302,-1.28
Ra,36,0.0253,0.0300,-0.38
Ra,37,0.0191,0.0304,-0.86
Ra,38,0.0192,0.0285,-0.71
Ra,39,0.0387,0.0299,0.68
Ra,40,0.0325,0.0301,0.19
Ra,41,0.0261,0.0284,-0.17
Ra,42,0.0263,0.0288,-0.19
Ra,43,0.0464,0.0275,1.39
Ra,44,0.0333,0.0302,0.23
Ra,45,0.0201,0.0297,-0.76
Ra,46,0.0203,0.0293,-0.68
Ra,47,0.0136,0.0279,-1.10
Ra,48,0.0342,0.0279,0.47
Ra,49,0.0276,0.0287,-0.08
Ra,50,0.0139,0.0286,-1.01
Ra,51,0.0490,0.0288,1.59
Ra,52,0.0211,0.0287,-0.56
Ra,53,0.0284,0.0293,-0.06
Ra,54,0.0357,0.0307,0.37
Ra,55,0.0216,0.0305,-0.62
Ra,56,0.0290,0.0304,-0.10
Ra,57,0.0146,0.0288,-1.02
Ra,58,0.0441,0.0282,1.15
Ra,59,0.0593,0.0287,2.26
Ra,60,0.0373,0.0291,0.54
Rb,1,0.0750,0.0263,3.92
Rb,2,0.0881,0.0269,4.65
Rb,3,0.0570,0.0286,2.23
Rb,4,0.0318,0.0264,0.48
Rb,5,0.0321,0.0282,0.30
Rb,6,0.0581,0.0264,2.63
Rb,7,0.0325,0.0279,0.36
Rb,8,0.0458,0.0273,1.45
Rb,9,0.0197,0.0270,-0.53
Rb,10,0.0397,0.0287,0.80
Rb,11,0.0333,0.0275,0.49
Rb,12,0.0268,0.0293,-0.19
Rb,13,0.0338,0.0288,0.41
Rb,14,0.0476,0.0284,1.49
Rb,15,0.0479,0.0278,1.64
Rb,16,0.0276,0.0274,0.01
Rb,17,0.0278,0.0280,-0.01
Rb,18,0.0210,0.0272,-0.43
Rb,19,0.0141,0.0284,-1.07
Rb,20,0.0142,0.0282,-1.04
Rb,21,0.0214,0.0277,-0.45
Rb,22,0.0288,0.0279,0.06
Rb,23,0.0362,0.0291,0.51
Rb,24,0.0292,0.0278,0.11
Rb,25,0.0294,0.0280,0.12
Rb,26,0.0370,0.0261,0.84
Rb,27,0.0224,0.0281,-0.44
Rb,28,0.0602,0.0292,2.25
Rb,29,0.0303,0.0283,0.14
Rb,30,0.0305,0.0274,0.22
Rb,31,0.0615,0.0281,2.39
Rb,32,0.0388,0.0284,0.72
Rb,33,0.0234,0.0259,-0.18
Rb,34,0.0236,0.0272,-0.26
Rb,35,0.0317,0.0284,0.22
Rb,36,0.0320,0.0271,0.33
Rb,37,0.0242,0.0271,-0.21
Rb,38,0.0407,0.0265,0.97
Rb,39,0.0246,0.0272,-0.18
Rb,40,0.0083,0.0282,-1.46
Rb,41,0.0000,0.0260,-1.74
Rb,42,0.0084,0.0257,-1.21
Rb,43,0.0424,0.0267,1.01
Rb,44,0.0427,0.0266,1.05
Rb,45,0.0431,0.0267,1.20
Rb,46,0.0174,0.0278,-0.68
Rb,47,0.0088,0.0299,-1.28
Rb,48,0.0000,0.0265,-1.64
Rb,49,0.0000,0.0274,-1.96
Rb,50,0.0180,0.0269,-0.59
Rb,51,0.0182,0.0289,-0.70
Rb,52,0.0000,0.0255,-1.69
Rb,53,0.0463,0.0269,1.30
Rb,54,0.0187,0.0285,-0.58
Rb,55,0.0283,0.0260,0.15
Rb,56,0.0381,0.0276,0.64
Rb,57,0.0288,0.0268,0.15
Rb,58,0.0097,0.0263,-1.10
Rb,59,0.0294,0.0257,0.25
Rb,60,0.0000,0.0291,-1.77
Sa,1,0.0323,0.0171,2.04
Sa,2,0.0719,0.0175,6.63
Sa,3,0.0361,0.0177,2.47
Sa,4,0.0362,0.0174,2.30
Sa,5,0.0327,0.0156,2.40
Sa,6,0.0146,0.0174,-0.39
Sa,7,0.0147,0.0178,-0.39
Sa,8,0.0147,0.0177,-0.42
Sa,9,0.0221,0.0159,0.88
Sa,10,0.0185,0.0173,0.16
Sa,11,0.0297,0.0162,1.96
Sa,12,0.0149,0.0166,-0.22
Sa,13,0.0112,0.0163,-0.64
Sa,14,0.0075,0.0169,-1.22
Sa,15,0.0113,0.0174,-0.83
Sa,16,0.0038,0.0177,-1.72
Sa,17,0.0076,0.0167,-1.05
Sa,18,0.0076,0.0163,-1.21
Sa,19,0.0230,0.0165,0.98
Sa,20,0.0192,0.0163,0.39
Sa,21,0.0232,0.0166,0.85
Sa,22,0.0194,0.0175,0.24
Sa,23,0.0233,0.0168,0.83
Sa,24,0.0195,0.0163,0.38
Sa,25,0.0275,0.0163,1.47
Sa,26,0.0079,0.0168,-1.16
Sa,27,0.0119,0.0174,-0.69
Sa,28,0.0159,0.0168,-0.13
Sa,29,0.0199,0.0163,0.49
Sa,30,0.0120,0.0173,-0.58
Sa,31,0.0241,0.0166,0.88
Sa,32,0.0161,0.0168,-0.09
Sa,33,0.0202,0.0165,0.51
Sa,34,0.0203,0.0160,0.58
Sa,35,0.0041,0.0171,-1.60
Sa,36,0.0123,0.0164,-0.51
Sa,37,0.0123,0.0174,-0.61
Sa,38,0.0124,0.0161,-0.48
Sa,39,0.0124,0.0162,-0.48
Sa,40,0.0125,0.0171,-0.53
Sa,41,0.0167,0.0166,0.02
Sa,42,0.0168,0.0169,-0.01
Sa,43,0.0127,0.0169,-0.56
Sa,44,0.0127,0.0168,-0.49
Sa,45,0.0255,0.0167,1.14
Sa,46,0.0171,0.0165,0.07
Sa,47,0.0172,0.0177,-0.07
Sa,48,0.0172,0.0168,0.05
Sa,49,0.0087,0.0176,-1.05
Sa,50,0.0174,0.0177,-0.04
Sa,51,0.0218,0.0167,0.64
Sa,52,0.0263,0.0162,1.27
Sa,53,0.0308,0.0168,1.57
Sa,54,0.0354,0.0167,2.17
Sa,55,0.0222,0.0166,0.67
Sa,56,0.0268,0.0167,1.24
Sa,57,0.0224,0.0170,0.65
Sa,58,0.0000,0.0163,-2.01
Sa,59,0.0181,0.0164,0.21
Sa,60,0.0045,0.0162,-1.25
Sb,1,0.0462,0.0221,2.90
Sb,2,0.0828,0.0217,7.41
Sb,3,0.1262,0.0212,12.16
Sb,4,0.0567,0.0223,3.95
Sb,5,0.0301,0.0214,1.06
Sb,6,0.1141,0.0225,11.01
Sb,7,0.0438,0.0221,2.57
Sb,8,0.0169,0.0221,-0.64
Sb,9,0.0644,0.0209,5.35
Sb,10,0.0510,0.0221,3.37
Sb,11,0.0068,0.0230,-1.95
Sb,12,0.0685,0.0209,5.58
Sb,13,0.0378,0.0219,1.80
Sb,14,0.0207,0.0228,-0.24
Sb,15,0.0484,0.0223,3.02
Sb,16,0.0243,0.0223,0.23
Sb,17,0.0070,0.0228,-1.92
Sb,18,0.0455,0.0226,2.42
Sb,19,0.0211,0.0222,-0.14
Sb,20,0.0211,0.0210,0.01
Sb,21,0.0459,0.0214,3.12
Sb,22,0.0142,0.0222,-0.91
Sb,23,0.0071,0.0215,-1.86
Sb,24,0.0321,0.0225,1.09
Sb,25,0.0143,0.0225,-0.95
Sb,26,0.0108,0.0226,-1.34
Sb,27,0.0325,0.0225,1.17
Sb,28,0.0254,0.0218,0.44
Sb,29,0.0182,0.0228,-0.57
Sb,30,0.0328,0.0213,1.37
Sb,31,0.0366,0.0221,1.81
Sb,32,0.0037,0.0216,-2.05
Sb,33,0.0148,0.0211,-0.80
Sb,34,0.0222,0.0220,0.03
Sb,35,0.0297,0.0222,0.84
Sb,36,0.0149,0.0232,-0.89
Sb,37,0.0187,0.0217,-0.34
Sb,38,0.0188,0.0200,-0.13
Sb,39,0.0189,0.0212,-0.26
Sb,40,0.0227,0.0222,0.06
Sb,41,0.0304,0.0228,0.80
Sb,42,0.0229,0.0219,0.12
Sb,43,0.0268,0.0214,0.62
Sb,44,0.0308,0.0213,1.02
Sb,45,0.0232,0.0218,0.16
Sb,46,0.0194,0.0220,-0.27
Sb,47,0.0156,0.0219,-0.68
Sb,48,0.0273,0.0232,0.42
Sb,49,0.0235,0.0224,0.12
Sb,50,0.0157,0.0216,-0.64
Sb,51,0.0158,0.0229,-0.83
Sb,52,0.0159,0.0220,-0.66
Sb,53,0.0159,0.0216,-0.61
Sb,54,0.0120,0.0208,-0.96
Sb,55,0.0080,0.0220,-1.56
Sb,56,0.0242,0.0221,0.24
Sb,57,0.0121,0.0230,-1.18
Sb,58,0.0203,0.0228,-0.27
Sb,59,0.0122,0.0223,-0.98
Sb,60,0.0082,0.0224,-1.58
Ta,1,0.0367,0.0173,1.36
Ta,2,0.0370,0.0152,1.90
Ta,3,0.0280,0.0167,1.00
Ta,4,0.0283,0.0168,0.93
Ta,5,0.0190,0.0154,0.30
Ta,6,0.0000,0.0162,-1.35
Ta,7,0.0291,0.0159,1.03
Ta,8,0.0098,0.0175,-0.62
Ta,9,0.0099,0.0170,-0.57
Ta,10,0.0300,0.0172,0.98
Ta,11,0.0000,0.0179,-1.19
Ta,12,0.0408,0.0156,2.01
Ta,13,0.0309,0.0174,1.10
Ta,14,0.0208,0.0154,0.44
Ta,15,0.0211,0.0163,0.36
Ta,16,0.0319,0.0150,1.25
Ta,17,0.0000,0.0175,-1.31
Ta,18,0.0217,0.0181,0.25
Ta,19,0.0220,0.0163,0.42
Ta,20,0.0000,0.0181,-1.40
Ta,21,0.0112,0.0155,-0.32
Ta,22,0.0114,0.0146,-0.28
Ta,23,0.0230,0.0161,0.49
Ta,24,0.0116,0.0179,-0.46
Ta,25,0.0000,0.0154,-1.23
Ta,26,0.0238,0.0182,0.38
Ta,27,0.0000,0.0180,-1.36
Ta,28,0.0122,0.0159,-0.29
Ta,29,0.0247,0.0163,0.65
Ta,30,0.0250,0.0172,0.51
Ta,31,0.0000,0.0172,-1.22
Ta,32,0.0000,0.0153,-1.20
Ta,33,0.0130,0.0175,-0.29
Ta,34,0.0000,0.0157,-1.21
Ta,35,0.0400,0.0171,1.58
Ta,36,0.0000,0.0175,-1.18
Ta,37,0.0000,0.0159,-1.06
Ta,38,0.0139,0.0167,-0.20
Ta,39,0.0141,0.0179,-0.24
Ta,40,0.0000,0.0179,-1.09
Ta,41,0.0580,0.0146,3.15
Ta,42,0.0294,0.0175,0.76
Ta,43,0.0299,0.0160,0.92
Ta,44,0.0000,0.0161,-1.04
Ta,45,0.0308,0.0192,0.69
Ta,46,0.0312,0.0166,0.95
Ta,47,0.0159,0.0152,0.04
Ta,48,0.0161,0.0162,-0.01
Ta,49,0.0000,0.0193,-0.97
Ta,50,0.0000,0.0169,-1.04
Ta,51,0.0000,0.0170,-1.07
Ta,52,0.0000,0.0169,-0.98
Ta,53,0.0000,0.0152,-1.01
Ta,54,0.0000,0.0157,-0.96
Ta,55,0.0000,0.0156,-0.91
Ta,56,0.0185,0.0170,0.07
Ta,57,0.0189,0.0175,0.08
Ta,58,0.0000,0.0138,-0.92
Ta,59,0.0392,0.0170,1.26
Ta,60,0.0000,0.0165,-0.87
