side,lag,observed,shuffled_mean,z
Da,59,0.0000,0.0271,-1.12
Da,60,0.0000,0.0271,-1.18
Db,1,0.1250,0.0211,6.44
Db,2,0.0563,0.0212,2.25
Db,3,0.0000,0.0198,-1.11
Db,4,0.0290,0.0206,0.48
Db,5,0.0000,0.0199,-1.21
Db,6,0.0000,0.0206,-1.15
Db,7,0.0000,0.0198,-1.25
Db,8,0.0000,0.0220,-1.20
Db,9,0.0156,0.0227,-0.42
Db,10,0.0317,0.0196,0.67
Db,11,0.0000,0.0189,-1.14
Db,12,0.0000,0.0202,-1.17
Db,13,0.0167,0.0200,-0.19
Db,14,0.0339,0.0208,0.71
Db,15,0.0172,0.0205,-0.18
Db,16,0.0175,0.0215,-0.20
Db,17,0.0000,0.0210,-1.05
Db,18,0.0000,0.0218,-1.12
Db,19,0.0741,0.0204,2.80
Db,20,0.0377,0.0204,0.90
Db,21,0.0962,0.0204,4.14
Db,22,0.0392,0.0222,0.79
Db,23,0.0600,0.0212,1.80
Db,24,0.0204,0.0210,-0.03
Db,25,0.0000,0.0210,-1.01
Db,26,0.0000,0.0220,-1.09
Db,27,0.0000,0.0237,-1.11
Db,28,0.0222,0.0191,0.14
Db,29,0.0000,0.0213,-0.98
Db,30,0.0000,0.0201,-0.91
Db,31,0.0000,0.0229,-0.93
Db,32,0.0000,0.0220,-0.99
Db,33,0.0000,0.0229,-0.97
Db,34,0.0000,0.0224,-0.90
Db,35,0.0000,0.0226,-0.99
Db,36,0.0270,0.0189,0.35
Db,37,0.0278,0.0222,0.22
Db,38,0.0571,0.0207,1.57
Db,39,0.0294,0.0201,0.42
Db,40,0.0909,0.0208,2.93
Db,41,0.0312,0.0213,0.41
Db,42,0.0323,0.0244,0.28
Db,43,0.0333,0.0202,0.49
Db,44,0.0000,0.0198,-0.76
Db,45,0.0000,0.0220,-0.77
Db,46,0.0000,0.0207,-0.72
Db,47,0.0000,0.0210,-0.74
Db,48,0.0000,0.0218,-0.73
Db,49,0.0000,0.0192,-0.69
Db,50,0.0000,0.0170,-0.60
Db,51,0.0455,0.0195,0.90
Db,52,0.0000,0.0207,-0.64
Db,53,0.0000,0.0220,-0.67
Db,54,0.0000,0.0200,-0.62
Db,55,0.0000,0.0225,-0.67
Db,56,0.0000,0.0179,-0.56
Db,57,0.0000,0.0256,-0.70
Db,58,0.0000,0.0187,-0.55
Db,59,0.0000,0.0193,-0.53
Db,60,0.0000,0.0238,-0.55
Er,1,0.0712,0.0320,4.11
Er,2,0.1310,0.0308,11.09
Er,3,0.0836,0.0312,5.80
Er,4,0.0599,0.0312,3.02
Er,5,0.0210,0.0297,-0.89
Er,6,0.0422,0.0303,1.25
Er,7,0.0363,0.0306,0.62
Er,8,0.0576,0.0297,3.02
Er,9,0.0517,0.0300,2.65
Er,10,0.0732,0.0299,4.57
Er,11,0.0581,0.0302,3.21
Er,12,0.0521,0.0298,2.41
Er,13,0.0369,0.0304,0.72
Er,14,0.0741,0.0295,4.82
Er,15,0.0526,0.0300,2.40
Er,16,0.0528,0.0309,2.32
Er,17,0.0405,0.0297,1.21
Er,18,0.0625,0.0305,3.55
Er,19,0.0251,0.0302,-0.52
Er,20,0.0314,0.0306,0.09
Er,21,0.0347,0.0299,0.53
Er,22,0.0253,0.0295,-0.47
Er,23,0.0190,0.0300,-1.11
Er,24,0.0159,0.0306,-1.61
Er,25,0.0351,0.0306,0.47
Er,26,0.0385,0.0315,0.71
Er,27,0.0450,0.0289,1.67
Er,28,0.0452,0.0302,1.57
Er,29,0.0647,0.0303,3.88
Er,30,0.0519,0.0312,2.19
Er,31,0.0423,0.0300,1.32
Er,32,0.0196,0.0294,-1.06
Er,33,0.0525,0.0310,2.13
Er,34,0.0132,0.0301,-1.82
Er,35,0.0165,0.0302,-1.42
Er,36,0.0298,0.0318,-0.22
Er,37,0.0166,0.0310,-1.46
Er,38,0.0200,0.0308,-1.11
Er,39,0.0201,0.0306,-1.20
Er,40,0.0302,0.0296,0.06
Er,41,0.0539,0.0299,2.53
Er,42,0.0135,0.0316,-1.80
Er,43,0.0576,0.0297,2.79
Er,44,0.0408,0.0298,1.11
